,...1,tag,sp.x,quadrat.x,dbh.x,hom.x,Height..m.,Notes
142,150,70960,QUAL,718,371.00,1.37,27.90,NA
143,151,70970,OSVI,718,96.00,1.37,16.00,NA
144,152,70996,MAAC,718,304.00,1.37,28.60,NA
145,153,71006,ACSA3,719,39.50,1.37,7.10,NA
146,154,71016,ACSA3,719,95.00,1.37,11.40,NA
147,157,81004,ACSA3C,815,43.00,1.37,6.30,NA
148,159,81028,AESCU,815,11.10,1.37,3.90,NA
149,160,81039,ACSA3C,816,364.00,1.37,25.50,NA
150,161,81049,LIBE3,816,14.60,1.37,1.60,NA
151,162,81052,FAGR,816,355.00,NA,36.00,NA
152,163,81060,AEFL,816,530.00,1.37,32.00,NA
153,164,81066,FAGR,817,355.00,NA,33.70,NA
154,165,81071,LIBE3,817,19.50,1.37,2.70,NA
155,166,81086,ULRU,817,184.00,1.37,22.70,NA
156,167,81088,LIST2,817,486.00,NA,39.20,NA
157,168,81096,OSVI,817,40.00,1.37,6.20,NA
158,169,81107,LITU,818,328.00,NA,31.60,NA
159,170,81108,ACSA3C,818,66.00,1.37,8.10,NA
160,171,81119,ACSA3C,818,91.00,1.37,17.60,NA
161,172,81129,ACSA3C,818,64.00,1.37,9.30,NA
162,173,81141,LIBE3,818,22.00,1.39,2.70,suspected dead
163,174,81158,ASTR,818,17.00,1.37,4.40,NA
164,175,81163,FAGR,818,786.00,NA,38.00,NA
165,176,91101,LIST2,914,395.00,NA,26.70,NA
166,177,91147,LIST2,914,395.00,NA,29.30,NA
167,178,91162,LIST2,914,480.00,NA,27.20,NA
168,179,91173,CELA,915,36.00,1.37,5.00,NA
169,180,91185,LITU,915,552.00,NA,34.90,NA
170,181,91186,TIAM,915,77.00,1.37,7.60,NA
171,182,91196,ACSA3C,915,90.00,1.3,11.70,NA
172,183,91201,LITU,915,618.00,NA,33.30,NA
173,184,91206,FRAMCO,915,449.00,1.37,32.60,NA
174,185,91218,MAAC,915,783.00,1.37,29.80,NA
175,186,91228,ACSA3C,916,84.00,1.35,9.20,NA
176,187,91238,FAGR,916,230.00,1.42,24.80,NA
177,188,91240,FAGR,916,350.00,NA,36.40,NA
178,189,91250,ACSA3C,916,83.00,1.37,9.50,NA
179,190,91261,ACSA3C,917,244.00,1.37,23.60,NA
180,191,91272,MAAC,917,474.00,1.37,28.00,NA
181,192,91284,ACSA3C,917,65.00,1.37,10.00,suspected dead
182,193,91295,TIAM,917,62.00,1.37,7.70,NA
183,194,101152,ACNE2,1013,281.00,1.37,23.00,NA
184,195,101165,LIBE3,1013,23.50,1.37,2.00,NA
185,196,101176,CACA18,1014,132.00,1.37,6.30,NA
186,197,101183,LITU,1014,582.50,NA,27.30,NA
187,198,101189,LIBE3,1014,22.20,1.37,3.00,NA
188,199,101201,LIBE3,1014,15.30,1.35,3.80,NA
189,200,101213,LIBE3,1014,11.40,1.37,2.00,NA
190,201,101224,LIBE3,1014,11.40,1.37,1.70,NA
191,202,101235,LIBE3,1015,14.30,1.37,2.00,NA
192,203,101245,ACSA3,1015,301.00,NA,18.30,NA
193,204,101248,ACSA3,1015,181.00,1.37,14.00,NA
194,205,101262,AEFL,1015,22.10,1.37,3.90,NA
195,206,101268,LITU,1015,303.00,NA,21.20,NA
196,207,101275,ACSA3,1015,35.00,1.35,1.70,leaning
197,208,101294,LIBE3,1015,15.10,1.37,2.00,NA
198,209,101312,LIBE3,1016,13.80,1.32,3.10,NA
199,210,101328,LIBE3,1016,15.50,1.37,2.90,NA
200,211,101341,ACNE2,1016,15.60,1.37,2.00,NA
201,212,101353,VIRU,1016,13.00,1.37,3.10,NA
202,213,101364,FAGR,1016,46.00,1.37,4.20,NA
203,214,101365,LIST2,1016,531.00,NA,34.60,NA
204,215,101374,FRAMCO,1016,360.00,1.37,20.60,NA
205,216,101385,TIAM,1016,154.00,1.37,10.00,NA
206,217,110901,OSVI,1112,63.00,1.37,6.00,NA
207,218,110914,CELA,1112,288.00,1.37,12.10,NA
208,219,110926,ACNE2,1112,74.00,1.37,4.30,NA
209,220,110936,ACSA3,1112,461.00,NA,20.90,NA
210,221,110938,CACA18,1112,92.00,1.37,6.70,NA
211,222,110949,LITU,1112,468.00,1.37,37.30,NA
212,223,110959,TIAM,1112,18.60,1.37,3.70,NA
213,224,110974,ULAL,1113,26.20,1.37,2.20,NA
214,225,110992,LIBE3,1113,14.00,1.37,1.90,NA
215,226,111010,JUNI,1113,220.00,1.37,16.50,NA
216,227,111022,AESCU,1113,12.20,1.32,1.70,NA
217,228,111034,CACA18,1114,76.00,1.32,7.30,NA
218,229,111043,LITU,1114,464.00,NA,36.30,NA
219,230,111044,CACA18,1114,48.00,1.37,4.90,NA
220,231,111045,LITU,1114,399.00,NA,31.10,NA
221,232,111055,LIBE3,1115,19.30,1.37,1.70,NA
222,234,120723,VIRU,1211,101.00,1.37,6.90,NA
223,235,120734,CACA18,1211,85.00,1.51,9.90,NA
224,236,120745,AESCU,1211,45.00,1.39,4.10,NA
225,237,120755,AEFL,1211,222.00,1.37,9.60,NA
226,238,120765,ULAL,1211,48.00,1.37,25.00,NA
227,239,120777,AEFL,1211,189.00,1.37,10.70,NA
228,240,120788,VIRU,1211,55.00,1.37,4.60,NA
229,241,120805,CACA18,1212,49.50,1.37,4.50,NA
230,242,120815,QUAL,1212,625.00,NA,35.50,NA
231,243,120816,FAGR,1212,45.00,1.37,4.20,NA
232,244,120827,LIBE3,1212,13.40,1.37,1.70,NA
233,245,120842,LIBE3,1212,10.20,1.37,1.70,NA
234,246,120847,LITU,1212,384.00,NA,30.20,NA
235,247,120852,LIBE3,1212,22.50,1.37,3.00,NA
236,248,120867,LIBE3,1212,11.90,1.37,1.70,NA
237,249,120879,LIST2,1213,349.00,NA,20.50,NA
238,250,120880,CACA18,1213,105.00,1.37,11.50,NA
239,251,120884,LITU,1213,553.00,NA,30.60,NA
240,252,120890,LIBE3,1213,18.70,1.37,2.60,NA
241,253,120893,LIST2,1213,545.00,NA,35.30,NA
242,256,120921,CELA,1213,250.00,1.37,18.90,NA
243,257,120933,CELA,1214,144.00,1.37,7.70,NA
244,258,120943,ACNE2,1214,329.00,1.37,27.00,NA
245,259,120953,CELA,1214,76.00,1.37,10.30,NA
246,260,120964,LIBE3,1214,12.60,1.37,1.70,NA
247,261,130769,FAGR,1310,383.00,1.37,31.10,NA
248,262,130781,CACA38,1310,240.00,1.37,13.40,NA
249,263,130793,OSVI,1310,120.00,1.37,7.20,NA
250,264,130803,CAGL8,1310,392.00,1.37,28.60,NA
251,265,130813,AEFL,1311,79.00,1.37,5.40,NA
252,266,130823,FRAMCO,1311,421.00,1.37,18.80,NA
253,267,130834,TIAM,1311,37.00,1.37,2.30,NA
254,268,130845,FRAMCO,1311,399.00,1.37,14.90,NA
255,269,130855,QUMU,1311,129.00,1.37,8.00,NA
256,270,130865,ULAL,1311,23.40,1.37,2.30,NA
257,271,130876,CELA,1312,127.00,1.37,9.00,NA
258,272,130888,LIBE3,1312,20.70,1.37,1.90,NA
259,273,130898,CACA18,1312,120.50,1.37,4.30,NA
260,274,130909,AESCU,1312,28.50,1.37,1.70,NA
261,275,130923,LIBE3,1313,14.20,1.37,1.70,NA
262,276,130933,LITU,1313,529.00,NA,37.50,NA
263,277,130934,QUMU,1313,72.00,1.37,6.20,NA
264,278,130937,LITU,1313,512.00,NA,50.00,NA
265,279,130942,LITU,1313,440.00,NA,41.90,NA
266,280,130944,LIST2,1313,106.00,1.37,12.60,NA
267,281,130945,LITU,1313,392.00,NA,43.70,NA
268,282,130952,LIST2,1313,457.00,NA,29.30,NA
269,283,130954,FAGR,1313,80.00,1.37,7.00,NA
270,284,150471,ACSA3,1508,313.00,NA,21.50,NA
271,285,150475,ACSA3,1508,81.00,1.37,8.40,NA
272,286,150481,QUAL,1508,322.00,NA,22.10,NA
273,287,150485,ACSA3,1508,67.00,1.42,8.40,NA
274,288,150495,CECA4,1508,16.80,1.37,1.80,NA
275,289,150506,OSVI,1508,19.40,1.37,1.60,NA
276,290,150508,QUAL,1508,503.50,NA,25.80,NA
277,291,150517,ACSA3,1508,58.00,1.37,17.90,NA
278,292,150523,QUAL,1508,491.00,NA,27.10,NA
279,293,150527,ACSA3,1509,103.00,1.42,15.20,NA
280,294,150537,ACSA3,1509,225.50,1.37,18.10,NA
281,295,150548,AEFL,1509,209.00,1.37,29.80,NA
282,296,150558,ULAL,1509,156.00,1.37,16.70,NA
283,297,150568,LIST2,1509,289.50,1.37,18.30,NA
284,298,150578,OSVI,1509,96.00,1.32,10.90,NA
285,299,150588,FOLI,1510,12.50,1.37,1.10,NA
286,300,150599,FAGR,1510,44.00,1.37,3.70,NA
287,301,150609,TIAM,1510,37.00,1.37,0.90,NA
288,302,150619,MAAC,1510,36.00,1.37,2.70,NA
289,303,150630,FAGR,1510,62.00,1.39,4.80,NA
290,304,150640,LIST2,1511,248.00,1.37,13.70,NA
291,305,150652,TIAM,1511,65.00,1.37,4.60,NA
292,306,150663,TIAM,1511,154.00,1.37,14.50,NA
293,307,150670,LIST2,1511,366.00,NA,44.80,NA
294,308,150671,LIST2,1511,431.00,NA,16.90,NA
295,309,150673,FAGR,1511,38.00,1.37,5.20,NA
296,310,150683,ACSA3,1511,117.00,1.37,9.10,NA
297,311,150696,ACSA3,1511,391.00,1.37,23.20,NA
298,312,160297,ACSA3,1607,69.00,1.37,5.50,NA
299,314,160321,ACSA3C,1607,41.00,1.37,4.20,NA
300,315,160331,MAAC,1607,128.00,1.37,13.50,NA
301,316,160341,ULAL,1607,25.00,1.37,2.10,NA
302,317,160352,ACSA3C,1607,137.00,1.37,15.30,NA
303,318,160362,CAOV2,1607,264.00,1.37,24.80,NA
304,319,160372,FOLI,1608,14.00,1.37,2.60,NA
305,320,160383,ACSA3,1608,70.00,1.35,7.70,NA
306,321,160393,ACSA3C,1608,129.00,1.37,18.40,NA
307,322,160405,FRAMCO,1608,114.00,1.37,10.90,NA
308,323,160415,QUAL,1608,334.00,1.37,23.10,NA
309,324,160425,ACSA3C,1609,154.00,1.37,12.10,NA
310,325,160429,QUAL,1609,498.00,NA,16.30,NA
311,326,160435,ULAL,1609,357.50,1.37,20.10,NA
312,328,160455,OSVI,1609,59.00,1.37,3.80,NA
313,329,160465,FRCA13,1609,11.70,1.37,2.90,NA
314,330,160475,CACA38,1609,438.00,1.37,34.00,NA
315,331,160485,ULAL,1608,50.00,1.37,3.20,NA
316,332,160495,ULAL,1610,114.00,1.37,11.40,NA
317,333,160506,AEFL,1610,353.00,1.37,19.10,NA
318,334,160516,ACSA3,1610,73.50,1.37,10.20,NA
319,335,160526,TIAM,1610,49.00,1.37,2.90,NA
320,336,160536,FRAMCO,1610,38.00,1.37,2.10,NA
321,337,160546,OSVI,1610,11.10,1.37,1.90,NA
322,338,160558,ACSA3C,1610,244.00,1.37,14.00,NA
323,339,160568,TIAM,1610,52.00,1.37,6.50,NA
324,340,160578,FAGR,1610,83.00,1.37,4.80,NA
325,341,170300,FRCA13,1706,21.50,1.37,2.00,NA
326,342,170310,FRCA13,1706,17.00,1.37,1.80,NA
327,343,170320,FRCA13,1706,28.80,1.37,4.80,NA
328,344,170330,FRCA13,1706,146.00,1.37,1.70,NA
329,345,170340,JUVI,1706,168.00,1.37,12.70,NA
330,346,170350,ACSA3,1706,122.00,1.12,12.90,NA
331,347,170360,AESCU,1706,24.60,1.37,1.90,NA
332,348,170370,ACSA3C,1707,128.50,1.37,14.50,NA
333,349,170380,TIAM,1707,356.00,1.37,23.80,NA
334,350,170392,ULAL,1707,60.00,1.35,3.30,NA
335,351,170402,ACSA3C,1707,160.00,1.25,12.50,NA
336,352,170412,FRCA13,1708,14.00,1.37,1.90,NA
337,353,170422,FRCA13,1708,13.20,1.37,2.10,NA
338,354,170434,ULAL,1708,29.20,1.37,3.00,NA
339,355,170444,ACSA3,1708,40.00,1.37,3.20,NA
340,356,170454,FRAMCO,1708,186.00,1.37,22.40,NA
341,357,170464,OSVI,1708,56.00,1.37,9.30,NA
342,359,170487,ACSA3C,1709,21.80,1.37,3.10,NA
343,360,170488,QUAL,1709,599.00,NA,24.20,NA
344,361,170497,QUAL,1709,56.00,1.37,4.70,NA
345,362,170513,FRCA13,1709,15.40,1.37,2.70,NA
346,363,170524,QUMU,1709,229.50,1.37,16.70,NA
347,364,170534,FRAMCO,1709,37.00,1.37,7.00,NA
348,365,170545,FRCA13,1709,14.30,1.37,2.40,NA
349,366,170555,FAGR,1709,32.00,1.32,2.10,NA
350,367,170565,CAOV2,1708,126.00,1.37,7.90,NA
351,368,180242,ACSA3,1805,32.00,1.37,1.60,NA
352,369,180252,ACSAS2,1805,39.00,1.37,3.30,NA
353,370,180262,ACSA3,1805,147.00,1.37,18.00,NA
354,371,180266,QUAL,1805,364.00,NA,17.90,NA
355,372,180272,ACSAS2,1805,67.00,1.37,2.20,leaning from neighboring fallen tree
356,373,180282,ACSA3C,1806,59.00,1.42,10.10,NA
357,374,180292,ACSA3C,1806,124.00,1.37,15.10,NA
358,375,180302,CATO6,1806,174.50,1.37,17.50,NA
359,376,180312,ACSA3,1806,36.00,1.37,3.90,NA
360,377,180322,ACSA3C,1806,62.00,1.37,9.30,NA
361,378,180332,FRAM2,1807,434.00,1.37,25.90,NA
362,379,180342,FRCA13,1807,15.40,1.37,3.20,NA
363,380,180352,OSVI,1807,30.00,0.82,4.30,NA
364,381,180362,OSVI,1807,30.00,1.39,2.90,NA
365,382,180370,QUAL,1807,331.00,NA,28.50,NA
366,383,180372,ACSA3,1807,25.80,1.37,3.20,NA
367,384,180383,FRCA13,1807,16.80,1.37,1.70,NA
368,385,180394,CATO6,1807,405.00,1.37,27.20,NA
369,386,180395,QUAL,1807,335.00,NA,44.10,NA
370,387,180399,QUAL,1808,550.00,NA,38.80,NA
371,388,180400,QUAL,1808,522.50,NA,33.90,NA
372,389,180404,ACSA3,1808,65.00,1.37,7.30,NA
373,390,180414,ACSAL,1808,169.00,1.37,24.10,NA
374,391,180424,TIAM,1808,101.50,1.37,14.30,NA
375,392,180434,FRCA13,1808,15.60,1.37,1.80,NA
376,393,190179,OSVI,1904,45.00,1.37,4.30,NA
377,394,190189,ACSA3,1904,68.50,1.37,5.50,NA
378,395,190199,VIRU,1904,61.00,1.37,2.40,NA
379,396,190203,QUAL,1904,369.00,NA,32.80,NA
380,397,190209,CAOV3,1904,211.00,1.37,17.70,NA
381,398,190219,CACA38,1905,311.00,1.37,13.70,NA
382,399,190229,QUAL,1905,310.50,1.37,22.10,NA
383,400,190239,QUFA,1905,408.00,1.37,28.00,NA
384,401,190249,FAGR,1906,120.50,1.32,16.00,NA
385,402,190259,CATO6,1906,212.00,1.37,21.70,NA
386,403,190260,LIST2,1906,305.00,NA,29.00,NA
387,404,190269,CATO6,1906,297.00,1.37,24.20,NA
388,405,190279,ULAL,1907,104.50,1.37,14.30,NA
389,406,190289,ACSA3,1907,67.00,1.39,7.30,NA
390,407,190299,FAGR,1907,36.00,0.97,2.70,NA
391,408,190309,CAGL8,1907,227.00,1.37,16.90,NA
392,409,190319,ACSA3,1907,23.80,1.39,2.20,NA
